,establishment,establishment_code
9023,st. clare’s medical center - department of psychiatry,5744
9026,businesstrends ,990
9027,ua&p media management committee ,6401
9035,eastern petroleum corporation ,1873
9039,"san miguel pure foods company, inc.",5274
9041,"bdo roxas cruz tagle and co., cpas ",824
9045,santos knight frank,5296
9060,recruitment(human resources group) - psbank,5047
9061,psychiatry department - the medical city,4908
9062,center for guidance services - national university,1110
9065,atlas outsourcing pty ltd ,653
9067,acumu inc. ,210
9068,anarna law office ,446
9072,general motors-gbs philippines ,2454
9073,acaf - association of the angolan community in the philippines,130
9074,conduent hr services,1391
9075,tripadvisor,6351
9076,one world connections. inc ,4353
9078,robinsons retail holdings inc.,5150
9087,cabalen group of restaurants ,998
9092,"sony life insurance co., ltd.",5679
9095,"feastbev, inc.",2212
9105,shell nederland raffinaderij b.v. ,5460
9108,ferrier hodgson philippines,2219
9109,aiesec university of the philippines diliman,293
9116,maybank philippines inc.,3732
9117,robinsons savings bank,5152
9130,sm mart inc.,5562
9131,footaction,2313
9133,citimotors inc.,1232
9136,de la salle university dasmarinas,1576
9138,my cloud assistant ,4019
9139,the refined ,6192
9140,salarium,5231
9141,fusion360 solutions,2407
9144,holcim,2751
9150,fast cargo logistics corporation ,2198
9153,linkedin,3503
9155,bureau of internal revenue ,979
9158,"ctsi logistics, inc.",1485
9162,alphaphis it solutions,372
9163,servehappy jobs ,5392
9165,ing ,3005
9167,fujitsu global,2383
9172,national pen llc ,4060
9173,national pen llc,4059
9174,e-telecare global solutions,1852
9175,digital wireless systems corp.,1712
9178,concrete masters inc.,1388
9180,"first balfour, inc.",2257
9183,manila broadcasting co (mbc),3631
9193,"amicassa process solutions, inc.",424
9194,avida land corp,690
9197,"ptr properties, inc.",4913
9199,the peninsula hotels ,6185
9201,eva airways corp.,2127
9202,gulf air ,2627
9215,list sotheby's international realty philippines,3505
9216,qc yardhouse corporation,4956
9226,"the philippine stock exchange, inc. (pse)",6188
9227,"the philippine stock exchange, inc (pse)",6187
9232,one world connections,4352
9233,pccw teleservices,4507
9236,emapta talent solutions ,1937
9243,formula oil corp.,2330
9253,mccann worldgroup,3740
9255,uber,6402
9258,sitel philippines corporation,5535
9268,"shell energy philippines, inc. ",5456
9296,fly ace corporation ,2300
9298,asia peopleworks,561
9299,brandspeak asia,948
9305,reality entertainment production,5037
9306,reality entertainment,5036
9307,abscbn,123
9318,carat,1045
9319,zenith,6903
9321,baker & mckenzie,736
9322,universal mccann,6467
9323,tbwa\santiago mangada puno,6036
9324,starcom mediavest group,5788
9335,golden abc,2556
9336,shearwall systems inc.,5434
9342,deal grocer ,1582
9344,u-bix corporation,6397
9346,abyan management services corporation,124
9354,digitel mobile philippines inc.,1721
9360,cloudstaff ,1272
9361,"century properties group, inc.",1122
9362,sm retail,5565
9364,lazada ,3443
9365,aia ,280
9366,european chamber of commerce of the philippines ,2125
9367,"medicard philippines, inc. ",3775
9382,onis global ,4362
9387,shell shared services ,5469
9388,national capital region ,4047
9390,"adp, philippines, inc.",233
9395,samsung electronics,5251
9408,cognizant softvision ,1314
9409,"astra (philippines), inc.",623
9413,wide-out workforces inc.,6749
9416,kaisa consulting,3300
9417,voicetel,6665
9418,eperformax,2050
9422,cognizant ,1311
9425,datacom,1540
9427,ge capital,2440
9430,firstsource solutions limited,2277
9444,cognizant softvision,1313
9454,gurango software corporation ,2630
9455,code3studios ,1306
9462,tpg telecom ,6305
9463,brady philippines ,944
9467,rajawali jaya,4997
9476,wipro bpo phils,6777
9477,wipro bpo,6775
9478,aegispeoplesupport phils,254
9479,aegis peoplesupport,251
9480,peoplesupport phils,4545
9483,taskus philippines,6030
9486,tink labs,6234
9487,iopex technologies,3115
9488,j.p. morgan,3189
9492,tsd global ,6375
9493,opsify,4375
9496,"exl service philippines, inc.",2153
9499,transcom ,6312
9514,you_source,6881
9516,save22 ,5319
9520,ibm solutions delivery - cebu,2883
9521,acs,193
9522,arcenas group of companies,509
9523,nozomi fortune services inc. - spi technologies inc,4278
9524,vicsal development corporation,6624
9528,mckinsey & company,3750
9529,[24]7.ai,57
9530,mrs. national universe ,3986
9532,glamoure productions & star shinning ,2496
9533,white & case llp ,6745
9536,harte hanks,2656
9537,fis,2278
9539,doj-oadr ,1792
9540,intelenet global services,3073
9541,sykes (hotels.com),5951
9542,"collaborative solutions, llc",1340
9544,technidata asia rohq,6058
9545,harbour it asia (a canon group company),2654
9546,hanbitsoft inc.,2645
9547,axis global interactive inc. / peerflux inc.,708
9548,lbp,3447
9551,nokia ,4245
9555,cierto communication corp.,1198
9557,"isuzu automotive dealership, inc.",3160
9558,coca-cola business bottlers services,1294
9565,fasttrack solutions inc. ,2205
9568,"maritime clinic for international seafarers, inc.",3690
9569,simpleware inc,5517
9571,stefanini ,5799
9573,solutions exchange inc. ,5666
9574,first source solutions ltd. ,2273
9578,big bad wolf books ,883
9581,stefanini techteam,5804
9585,jaguar cars,3197
9587,groupm thru almer manpower corporation,2618
9591,leo burnett group,3462
9592,wideout technology services incorporated,6753
9593,"wideout technology services, inc",6754
9596,google partner program,2576
9600,headstrong global consultancy,2681
9604,experiential communication integrated trade and events inc.,2158
9605,1bro global inc.,13
9609,integreon,3058
9611,winsource solutions,6772
9612,information professionals inc.,2988
9613,national engineering center,4051
9614,diliman computer science foundation,1740
9616,"canon information technologies philippines, inc.",1027
9618,workwize ,6813
9619,web outsourcing gateway inc. ,6708
9622,wipro bps,6778
9627,first global transit inc.,2261
9630,leentech network solutions,3456
9631,dworkin,1829
9633,regus - iwg plc. offices | coworking | meeting rooms. ,5063
9634,wipro digital ,6779
9635,"calltek, inc. ",1009
9645,expert global solutions formerly apac customer services,2163
9646,sti college - southwoods,5827
9647,childhope asia philippines,1167
9654,"2go logistics, inc.",32
9655,belle corporation,847
9660,datamatics ,1542
9661,convergys ph ,1415
9664,abbott ,83
9668,alphamed group lcc - il caffe di roma lavazza,370
9669,dell philippines,1606
9673,"magenic manila, inc.",3595
9676,arc worldwide,505
9679,deployed - offshore staffing solutions ,1652
9680,zigzag offshoring,6913
9682,"merck sharp & dohme (under manpower outsourcing services, inc.)",3816
9683,greenfield development corpotion (marketers one),2612
9686,"fasttracksolutions, inc. ",2207
9687,"ehs lens philippines, inc. ",1912
9689,laguna college of business and arts ,3409
9693,"alorica philippines, inc.",364
9696,"iplus intelligent network, inc.",3123
9697,obelisk international learning hub,4303
9698,"megaworld global-estate resorts, inc. ",3793
9699,manila monitoring office - office of the provincial governor of lanao del sur,3643
9701,arb call facilities inc ,503
9703,"green cross, inc.",2606
9704,boie incorporated,916
9705,hen lin,2693
9708,visteon-tyc,6647
9709,visteon corporation,6645
9713,mechanical handling equipment company inc. (mheco) ,3756
9716,medpharma ,3781
9718,serviceit+ inc. ,5395
9719,excelasia training and development inc. ,2142
9720,"pierre and paul solutions, inc. ",4732
9723,zensar technologies singapore,6907
9725,onecall24 limited,4357
9730,servicesource ,5397
9731,"transcosmos technologic arts co., ltd",6316
9732,rpgi,5190
9733,admx,230
9734,"innodata philippines, inc.",3018
9736,support services group - apac,5917
9738,"asia premier one source, inc.",564
9739,panthertech,4469
9748,new kinpo group,4196
9752,visaya knowledge process outsourcing corporation,6639
9754,gebbs healthcare solutions,2447
9765,infosys,2995
9769,mcdonald's corporation,3746
9772,"teleperformance, usa",6085
9773,wns global services,6795
9774,structure and dynamics research group,5857
9776,fiverr ,2287
9777,digitalscouting.de ,1714
9778,solhub360 ,5657
9779,"prime creative dimensione, inc.",4838
9780,blims lifestyle group inc. ,901
9781,staff virtual,5770
9786,nco,4078
9788,"gensan shipyard and machine works, inc. ",2472
9790,"rdex food international philippine, inc. ",5030
9791,"rd tuna canners, ltd",5029
9792,"pt. rd pacific international, indonesia",4912
9793,"*rd fishing industry inc. *rd tuna fishing ventures, inc. *south sea fishing ventures inc.",6
9794,rd corporation,5026
9795,rd corporation (holding company),5027
9796,ramon magsaysay memorial colleges,5002
9798,fujitsu philippines global delivery center ,2387
9799,green advancedtech solutions corp ,2603
9800,lgu candelaria quezon,3480
9802,etsi technologies,2116
9804,mercury drug corporation,3820
9807,facebook ,2183
9808,acquire bpo ,190
9809,symantec cloud services ,5969
9810,upwork,6548
9811,google cloud | g suite,2573
9812,google play,2577
9813,intuit quicbooks support,3107
9814,verizon,6600
9816,affinion group ,263
9817,collabera inc. / accenture ,1336
9819,"solvento philippines, inc. ",5671
9833,university of santo tomas hospital ,6492
9844,smechat.ph,5608
9846,"ibm solutions delivery co., ltd. ",2885
9848,"vinteo, inc. ",6634
9854,"aegis peoplesupport, inc. ",253
9857,urology center of the philippines,6553
9858,aescultura,258
9859,"urology center of the philippines, inc.",6554
9862,sales rain,5232
9865,first liner,2262
9869,"weserv systems international, inc. ",6726
9874,resound ,5089
9875,sprout solutions ,5728
9876,mgm communication laos,3869
9877,igen technologies,2917
9887,wns ,6793
9893,american express ,415
9897,nexperia ,4202
9898,stmicroelectronics,5832
9899,pccw solutions,4504
9901,hysonic philippines inc.,2832
9906,vital strategies ,6649
9909,tata consultancy services,6032
9910,atos origin,662
9912,st.luke's medical center-quezon city,5759
9918,bureau of immigration and deportation,977
9921,the results companies ,6194
9935,techno global team (tgt) ,6059
9941,local government,3519
9945,hibu / tcs,2730
9946,yelladworks / hibu,6870
9947,yell adworks ltd,6869
9948,"department of science and technology, small enterprise technology upgrading program (set-up)",1649
9949,"accenture inc, utilities business process outsourcing services",145
9950,ph offshore outsourcing,4583
9951,international rectifier,3098
9955,"cylix technologies, inc",1504
9957,enshored ,2038
9961,yma general trading llc,6874
9962,postech llc,4809
9963,pointman placement inc,4789
9965,"psychstart psychological, academic, and art servies ",4910
9966,pelicen incorporated ,4520
9971,genpact llc,2468
9977,magenic,3591
9983,collabera technologies private limited,1339
9984,tech mahindra,6049
9985,manila adventist medical center and colleges,3630
9995,comguild,1350
9997,"magenic manila, inc. ",3596
10003,sieben manpower ,5500
10004,cdr-king,1092
10013,medicall philippines incorporated,3771
10018,ppd,4818
10020,"innodata (ess manufacturing company, inc)",3016
10021,de los santos-sti medical center,1581
10026,bank of america continuum solutions,758
10031,wns global services (p) ltd.,6798
10032,diaspark inc.,1691
10033,mphasis,3979
10037,silliman university human resource department,5512
10038,southdale integrated school,5688
10040,sealed network ,5354
10041,axa philippines ,704
10042,international recruitment firm ,3097
10043,"ras recruitment, hk & ph",5012
10044,orange valley nursing homes pte ltd (marsiling),4397
10045,st. luke's medical center,5747
10050,fastech advanced assembly inc.,2202
10054,imfree ,2936
10059,prov international,4887
10060,gurango software corporation,2629
10061,apsmith solutions corporation (asc),491
10063,lseg (london stock exchange group) ,3537
10067,dswd national resouce operations office ,1817
10068,shin-etsu magnetics philippines ,5484
10071,wns global services ,6796
10072,exor philippines ,2156
10075,"qualfon philippines, inc.",4965
10080,spi global ii ,5715
10088,telco services australia pty ltd ,6069
10089,west contact services inc ,6731
10090,iqor inc. ,3132
10091,rustan coffee corporation ,5197
10094,"(eqod,llc) truebpo ",4
10095,(acts) fpoesci -florida pinoy operational efficiency services company inc ,2
10096,(synnex) concentrix corp,5
10097,micro image international corporation,3873
10099,wilcon,6757
10100,ace hardware philippines,174
10103,jollibee,3252
10106,luxury presence ,3554
10107,canadian website designs inc ,1018
10108,nixplay ,4239
10114,"pacific rare specialty metals and chemicals,inc.",4439
10116,astreya ,626
10117,manpowergroup solutions,3665
10132,global dominion financing incorporated,2506
10138,asia premier one source inc.,563
10140,open access bpo,4365
10142,ホテル リブマックス,6934
10145,fujitsu ph ,2384
10147,rotek trading corporation,5180
10148,"aclc college, baliuag",185
10149,toro.io,6258
10150,asian institute of computer studies: baliwag branch,587
10158,forever 21,2323
10165,tk services international ,6237
10166,"e-teleconnect, inc. ",1854
10167,"northgate technologies, inc. ",4258
10170,"qne software philippines, inc.",4958
10175,acs technologies ltd.,197
10178,stefanini group,5800
10182,hcl software ,2669
10183,monstar lab philippines ,3959
10184,"talas data intelligence, inc. ",6016
10187,"speed-up multiservices (sms), inc.",5703
10188,capital one philippines,1037
10190,"new world diagnostics, inc.",4199
10191,"speed-up multi services (sms), inc.",5702
10192,veterans memorial medical center,6617
10197,imergex information technology,2934
10205,exl service philippines,2152
10207,directv,1750
10208,"staff builders/ asia consultancy/metro drug, inc",5767
10210,emsen construction ,2021
10211,cognizant technology solutions corp. ,1319
10212,apec 2015 ceo summit,476
10213,total philippines ,6270
10214,the brunei hotel,6147
10215,ceylon inn,1129
10216,best western hotel,868
10217,kennedy school,3326
10218,the independent schools foundation academy,6170
10220,hcl bpo,2667
10222,harte-hanks philippines,2658
10225,canada computers ,1017
10226,aspire lifestyles,609
10230,24/7 customer philippines,26
10239,dmci group of companies,1779
10240,all asian countertrade incorporated,338
10246,offsure global outsourcing ,4320
10247,systems plus college foundation ,5993
10250,stefanini group ,5801
10254,ford motor company ,2317
10255,mosaic communications inc,3969
10257,"arcadia components, llc",506
10258,incoho inc,2948
10266,huris inc. (official) ,2825
10267,"boardwalk business ventures, inc. ",913
10268,medicare plus,3776
10271,kapit kamay philippines ,3313
10273,madbatter&do food hub ,3573
10279,jpmorgan chase & co. ,3274
10280,assurant bpo solutions inc.,615
10281,wesupport incorporated,6741
10282,goadv asia inc.,2546
10283,rigel software development and design (sister company of orionnet system),5109
10284,axiom xcell incorporated,706
10285,magenic - cognizant softvision,3593
10288,"blastasia, inc.",898
10291,west (now alorica),6728
10294,telus international,6104
10306,"digital strategists, inc.",1707
10308,unionbank of the philippines,6444
10315,my pocket doctor,4023
10316,"j.p. sioson general hospital and colleges inc., ",3192
10317,asian eye institute,584
10324,hanmi micronics ,2648
10325,macrologic diversified technologies inc ,3572
10327,illimitado ,2928
10328,tds global solutions ,6041
10330,wipro digital operations and platforms ,6781
10331,"prople bpo, inc. ",4884
10332,job placement resources services cooperative. ,3235
10333,"global staff recruitment search, inc. ",2517
10334,global creditpros,2505
10338,avaya,686
10339,hsn,2813
10340,capital one financial,1036
10341,university of south florida,6494
10342,us navy,6556
10344,infor,2981
10347,direc business technologies inc ,1747
10350,manulife philippines,3674
10352,alberto pascual and associate ,321
10368,people support inc,4533
10376,healthserv los banos medical center ,2687
10377,"carmona hospital and medical center, inc.",1059
10378,university of perpetual help - dr. jose g. tamayo medical university,6484
10381,the generics pharmacy,6162
10384,trend mircro ,6332
10385,packetworx ,4443
10386,msi-ecs phils inc. ,3995
10388,towers watson,6275
10389,pacific business group,4433
10390,mediabanc monitoring systems,3764
10391,terasoft it solutions,6119
10392,frabelle fishing corporation,2341
10393,sutherland global service limited ,5928
10396,shell business services center,5454
10403,teleperformance careers philippines ,6079
10408,globe telecom (expercs),2528
10411,nazal md,4076
10412,"addforce hr solutions, inc.",218
10416,systems and software consulting group inc. ,5991
10420,"ghl systems philippines, inc",2486
10425,exl service,2151
10426,southville international school and colleges,5692
10427,manila tytana colleges - metrobank group,3648
10437,b2x care solutions ,729
10438,vodafone ,6663
10439,lightexplorers ,3491
10440,credit suisse services (india) private limited ,1467
10441,genxsis talent management (p) limited ,2474
10442,wns global service private limited,6794
10444,ge capital international ,2441
10445,casio india ,1067
10446,hindustan lever limited ,2738
10454,psbank official ,4902
10456,"venice 66 fashions, inc. ",6593
10458,core lifestyle clothing inc. ,1424
10465,sbma ltd,5323
10466,telus,6102
10467,customer support international,1493
10468,conti group of companies,1404
10469,freeport institute for research science and technology,2358
10470,holy infant jesus college,2759
10471,ramon magsaysay technological university,5003
10472,ltw technology co. ltd,3542
10473,stv6,5862
10482,proventa international,4888
10484,whirlpool corporation,6743
10485,freelancer.com,2356
10486,vonage,6670
10487,hospital care consultants,2788
10488,across coast communication inc.,191
10491,--,8
10496,hoppler ,2786
10497,ghd ,2482
10498,century properties inc.,1123
10499,joe riley & associates,3241
10500,"medicard philippines, inc.",3774
10501,f1 it associates,2180
10508,allcard inc. ,340
10514,stellent services corp,5810
10516,sun cellular,5881
10518,"pilipinas makro, inc.",4733
10520,"factset philippines, inc.",2186
10521,altegra health,378
10523,endlessrise inc,2032
10524,"edata services, phils., inc.",1899
10526,cognizant technology solutions ,1318
10527,optum ,4385
10531,sterling steel ,5821
10534,infosys bpm ltd,2999
10542,self employed,5379
10543,magenic ,3592
10544,oneaston,4354
10547,brady corporation (philippines,943
10552,mopro,3966
10554,e outsource asia philippines inc.,1842
10556,tech mahindra ,6050
10559,"dell international services philippines, inc.",1605
10561,hinduja global solutions,2733
10564,"navitaire, an amadeus company",4074
10571,h2 software consulting services inc.,2636
10574,"h2 software consulting services, inc.",2638
10575,information systems group (isg),2990
10583,hewlett-packard enterprise services,2717
10587,ge capital international services limited. ,2442
10589,sykes asia inc. ,5956
10593,green advancetech solution corp. ,2604
10598,google operations center ,2575
10601,beautymnl,836
10603,auto empire gesellschaft inc. ,674
10609,convergys singapore holdings inc,1422
10611,convergys services corp.,1421
10612,"abs-cbn foundation, inc.",114
10619,charter ping an,1142
10622,ubiquity global services,6407
10626,salvatore cuomo and bar ,5240
10628,magsaysay people resources (magsaysay maritime corporation) ,3604
10629,myons french mediterranean cuisine ,4027
10630,grand astoria plaza ,2595
10641,tsd global,6374
10645,lufthansa services philippines ,3548
10650,tribal group,6339
10657,csc,1477
10664,"white cloak technologies, inc. ",6746
10665,wideout ,6751
10666,twist resources,6394
10668,infosys bpo,3000
10672,fresh & famous (chowking),2360
10675,"globe telecommunications, inc. ",2536
10682,atozproductsltd ,663
10684,"harte-hanks, inc.",2659
10687,questronix corporation ,4973
10689,intelenet global services private ltd. ,3075
10697,24/7 customer,25
10701,vgdr law firm,6621
10704,wns global services philippines,6799
10705,genpact services llc,2470
10706,teletech philippines inc,6094
10707,alorica philippines inc,363
10711,achieve without borders ,183
10715,the results companies,6193
10716,hinduja global solutions ph,2737
10724,oneaston inc.,4356
10725,"networklabs, inc.",4190
10729,hme international freight forwarding corp.,2749
10732,ithinkweb corporation ,3176
10734,propane loop ,4878
10735,egbon ross ,1911
10736,exit 7c ,2147
10737,aceolution pte ltd. ,180
10738,magna ikya infotech,3600
10743,people 4 people,4526
10744,century pacific group,1120
10745,clorox international philippines. inc,1264
10746,zuellig pharma corporation,6927
10747,genuine parts company ,2473
10749,change healthcare,1137
10752,seemi (cebuana lhuillier affiliates),5374
10756,usana health sciences ,6558
10760,"shakey's philippines (shakey's pizza asia ventures, inc.) ",5425
10763,ing business shared services b.v. branch,3007
10768,fbs inc. ,2210
10772,werner co.,6722
10778,action labs it services,201
10780,interactive technology solutions,3081
10783,sutherland global logistics ,5927
10784,"c3/customercontactchannels, inc. ",997
10800,redline internet bar,5051
10803,air trans travel agency,308
10808,stefanini philippines,5802
10814,toa global,6240
10818,advanced card systems ltd.,235
10821,bcs systems and technologies,809
10824,headstrong,2678
10826,weselect,6724
10828,tricom system philippines,6344
10833,accesscall solutions ,162
10837,dtsi group (diversified technology solutions international) ,1819
10841,willore pharma corporation,6767
10843,pag-asa hospital ,4448
10845,"a1 software group, inc. ",73
10846,beepo,840
10848,"simply rfid-ph, inc.",5521
10849,magenic manila,3594
10851,"irely-philippines, inc.",3136
10852,"igen dev center, inc. (igen technologies)",2916
10853,"castletown global services, inc.",1068
10854,neuron global,4195
10855,"allcard plastics philippines, inc.",341
10856,"citistores, inc.",1233
10860,atos it solutions and services a/s ,661
10864,teradata phils.,6118
10866,diebold systems pvt ltd,1693
10867,misoft,3911
10868,philippine veterans bank,4693
10870,emerio ,1938
10872,"cis bayad center, inc.",1207
10876,powerserve marketing & promotions,4816
10878,"south star drug, inc.",5687
10879,northfield laboratories inc,4257
10880,east avenue medical center,1864
10883,radix systems services corporation ,4992
10884,"acer philippines, inc.",181
10886,callmax solutions,1008
10887,interglobe technologies,3089
10893,zoobook systems llc ,6918
10894,nettecture ,4188
10895,"sunlightasiaco.,ltd. ",5901
10896,watsons ,6696
10897,outsourcing support it ,4424
10901,asia united bank ,568
10902,toyota pasig ,6297
10908,pontoon solutions,4805
10909,misnet inc,3909
10913,halcrow group limited,2642
10915,"getz bros. phils., inc.",2478
10917,"lancesoft, inc. ",3422
10918,flash express ,2289
10919,now trading concept multi purpose cooperative ,4275
10920,migo ,3888
10924,bureau of immigration ,975
10927,airasia,309
10929,"philippines airasia, inc. ",4698
10943,movent - groupm/wpp company,3975
10944,netbooster,4181
10945,yellowasp,6871
10946,nextbro inc.,4205
10947,statsit,5796
10948,zimplicty,6914
10949,lake washington communications / ifloor.com,3415
10951,softteqk corporation,5642
10952,estudyante online.com inc,2103
10953,petron corporation website,4571
10954,"novartis healthcare philippines, inc",4270
10961,bcs technology international pty ltd,810
10962,cellprime distribution corporation: redfoot technologies inc.,1101
10968,on semiconductor ,4343
10969,"collaborative solutions, llc ",1341
10974,trt,6364
10975,bizland it solutions,894
10976,the white room beauty & spa,6206
10978,azta urban salon,727
10980,"kasangga security and investigation agency, inc.",3315
10981,carmela’s appliance store,1058
10982,"pacific plans, inc.",4438
10989,william hill ,6764
10990,"kmc mag solutions, inc.",3356
10997,flexisource it,2293
10998,softship,5640
10999,eurolink network international corporation,2123
11004,rlim systems solution and consulting,5130
11005,uob,6516
11006,google operations center,2574
11008,adglow,223
11009,key media,3334
11010,social@ogilvy,5628
11011,philippine cut flower corporation,4636
11012,john hay management corporation,3245
11014,metro pacific tollways corporation ,3839
11015,smdc the good guys! ,5605
11038,wideout workforces inc,6755
11039,wideout technology services inc,6752
11042,insight ,3029
11051,sm hypermarket (ssmi),5558
11055,"terasystem, inc.",6121
11059,astreya,625
11065,plooma ,4776
11066,"health maintenance, inc. (hmi)",2685
11070,gracall international mnl,2592
11071,kgb,3344
11083,ghl systems berhad,2485
11084,equitable computer services,2071
11090,temple hill international school ,6110
11091,arellano university ,516
11093,"diwa learning systems, inc. ",1765
11097,"teletransform, inc.",6096
11099,ibex,2852
11111,"virtify philippines, inc.",6636
11114,i.t. crossings,2847
11115,"lidp consulting, inc.",3487
11116,bank one,779
11117,columbus life insurance company,1347
11118,ohio state life insurance,4327
11120,digital room (philippines) inc.,1703
11125,sify technologies limited.,5507
11127,the knowledge foundation (tkf) ,6171
11128,visteon india ,6646
11129,talbros engineering ltd.,6017
11130,larsen & toubro,3435
11133,realtair,5041
11135,sm investments corporation ,5560
11143,deutsche bank,1665
11155,dexcom ,1679
11157,iq-eq ,3129
11159,william hill,6763
11164,jobsdb,3236
11171,barton bay inn & cafe ,787
11172,"enchanted kingdom, inc.",2026
11174,sumisho motor finance corporation (an affiliate company of psbank and sumitomo corporation),5876
11175,wells fargo center enterprise global services,6719
11176,sykes asia incorporated,5957
11190,ia innovations inc.,2849
11193,iscale solutions ,3141
11194,rcg global services,5023
11199,pierre and paul solutions,4731
11203,tentacle technologies msc sdn.bhd.,6115
11204,fresenius netcare asia pacific ,2359
11208,sapphire pacific solutions inc. ,5307
11209,gxs ,2632
11212,w-tech solutions inc. ,6686
11213,fitnesstap,2285
11214,haiyan group (hmgrp),2641
11217,impulse book incorporation,2943
11221,clean leaf international corporation,1248
11224,creative programs inc ,1461
11230,technostore inc ,6066
11231,exelon power solution ,2145
11240,lexisnexis (relx ph) ,3470
11242,manulife business process services (mbps) for john hancock ,3669
11243,interactive technology ,3080
11244,magellan solutions outsourcing inc. ,3590
11245,"logicall, inc. ",3526
11248,u.s. department of veterans affairs ,6400
11253,asia fusion technology ltd,559
11254,adec-innovations,221
11255,cyscorpions,1507
11256,lufthansa,3546
11258,shearwater cpo® - home of clinicians ,5435
11259,"metro antipolo hospital and medical center, inc. ",3834
11260,cognizant technology solutions philippines inc,1320
11265,iwg plc ,3181
11266,linde ,3494
11267,linde gas asia pte.ltd-rohq,3496
11268,"linde gas asia pte, ltd",3495
11269,linde india limited,3498
11270,trigon and company,6346
11272,"blastasia, inc. ",899
11289,rising tide,5116
11290,samsung research & development institute - philippines,5258
11291,"chikka philippines, inc.",1165
11303,"solutions exchange, inc. ",5668
11306,the results company ,6195
11309,adec innovations ,220
11310,ust global ,6563
11314,"medicall philippines, inc.",3772
11324,"dr. pablo o. torre, sr. memorial hospital ",1809
11325,southern negros doctors hospital ,5691
11329,datatrail corporation,1546
11342,vxi global holdings,6679
11345,people for people,4529
11357,convergys philippines inc,1418
11358,qualfon philippines dumaguete,4964
11361,assurant bpo solutions inc. ,616
11362,jewelmer international corporation,3214
11364,a.r.m inc.,72
11366,vocal expressions music studio ,6661
11367,nice cxone ,4218
11369,[24]7.ai philippines ,60
11381,wallem innovative solutions ,6689
11382,logica ,3524
11383,sql star international ,5729
11384,infonxx inc ,2978
11385,iti consulting & acquisition gmbh ,3177
11386,advanced synergies philippines ,241
11391,ducen,1821
11394,global learning support,2509
11399,exl services ltd,2155
11403,"office of the special prosecutor, office of the ombudsman",4316
11408,concentrix inc.,1384
11412,pj lhuillier group of companies,4751
11414,syntel,5979
11417,results manila inc.,5093
11419,transcom worldwide,6313
11420,"24/7 customer philippines, inc.",28
11422,"e- telecare global solutions, inc.",1846
11423,"e-telecare global solutions, inc.",1853
11424,"compass web solutions, inc.",1367
11428,e*trade information services,1845
11429,access worldwide philippines,161
11443,the meat genie ,6176
11447,msci inc (formerly morgan stanley capital international & msci barra),3988
11448,tata teleservices ltd,6034
11455,ayala land premier,714
11457,24-7 customer philippines inc.,20
11461,cloud employee ,1266
11462,petsure (australia),4574
11465,"oak drive ventures, inc.",4301
11466,intra strata assurance corporation,3106
11467,information managers incorporated,2987
11475,chronos strategies,1193
11476,quantrics enterprises inc.,4968
11485,stefanini,5798
11486,intellectual property office of the philippines,3076
11497,australia broadband,670
11498,acquire asia pacific,188
11499,aggregato global,270
11506,swanleap ,5937
11509,sangguniang panlalawigan of cavite ,5289
11510,philippines department of foreign affairs ,4700
11512,dunkin' brands ,1825
11518,"sykes marketing services, inc.",5966
11525,epacific / one global contact center inc.,2048
11528,wns,6792
11531,affiliated computer services ,261
11534,infosys ,2996
11535,c3 customer contact channels ,996
11538,iqor ,3131
11547,goin' ,2555
11554,nuesmart inc ,4288
11560,delta air lines,1613
11572,staizen ,5773
11573,eei corporation ,1908
11574,mba consultant philippines inc. ,3737
11584,creative portal inc.,1460
11587,roadrunner network inc,5134
11589,rcg global services ,5024
11590,eastvantage ,1878
11591,yondu ,6877
11592,pni business solutions inc. ,4781
11593,filament information technology services inc. ,2235
11594,mindblow internet ideas,3893
11597,"bolton international, inc. (philippines) ",919
11599,zuellig pharma ,6921
11600,ultramed pharma ,6421
11601,vamsler philippines. inc ,6582
11609,orange and bronze software labs,4395
11613,"aws philippines (advanced world systems, inc. and advanced world solutions, inc.)",696
11614,lenddoefl ,3459
11615,ntek systems inc.,4281
11617,"batangas state university, philippines",793
11619,"acs, a xerox company",199
11623,hcl technologies philippines,2672
11626,ntt ltd. ,4287
11627,i-tech global business solutions inc. ,2846
11628,gameloft ,2427
11629,bidpath,882
11635,ibm solution delivery inc. ,2881
11637,ultimas soluciones inc. (an affiliate of jimac inc.),6420
11643,optum,4384
11645,dakay construction and development corporation,1526
11646,don bosco technology center,1799
11647,cognizant solutions gmbh,1315
11650,sgs group,5412
11651,exl services inc,2154
11662,cai-sta phils. inc.,1003
11669,arvato,541
11673,"indra philippines, inc.",2957
11674,"encora technologies - cimb bank, malaysia",2030
11684,siomai king franchise philippines ,5526
11685,pharmaserv express,4584
11687,"hizon laboratories, inc. ",2747
11689,essilor shared services philippines inc. ,2099
11691,cen group,1106
11694,university of perpetual help medical center,6485
11696,acudeen technologies inc. ,209
11697,switch automation,5939
11698,founder institute,2335
11699,ncs group,4082
11701,"teligent systems, inc.",6097
11702,optimum source inc.,4379
11707,epldt ventus ,2059
11717,"transkripsyo, inc.",6321
11718,spi hdi,5716
11720,"avleyo transcriptions, inc.",692
11721,"interlink manpower and general services, inc.",3090
11722,private practice,4853
11723,"newlife medical distributors, inc.",4201
11729,sprobe inc.,5726
11730,synergia bpo solutions inc.,5973
