,role_or_degree,role_code
12209,educational counselor (english/arabic),3193
12210,it support engineer (team lead/ process lead),5622
12211,multilingual technical consultant (english/arabic),6744
12212,telecom specialist,11705
12217,software engineer iii,10423
12220,technical solutions specialist level 2,11544
12225,assistant manager operations,684
12226,assistant quality assurance manager,728
12228,patient advocacy representative,7227
12231,recruitment - sr. assistant,8362
12232,talent fulfillment analyst,11246
12234,art instructor,574
12235,deputy general manager | life sciences | process excellence - intuitive operations & automation,2909
12236,global process improvement leader (l6),3993
12237,aces manager,250
12239,senior manager process excellence,9666
12241,project manager (black belt),7988
12242,supply chain management intern,11023
12244,graduate engineer trainee,4061
12245,csv senior developer,2444
12248,application programmer c#.net,493
12249,jr. systems developer,5740
12256,training delivery manager,11868
12258,senior faculty,9486
12259,assistant principal,715
12261,foreign service officer,3747
12265,senior director - intuitive operations & automation,9456
12266,director - digital operations & business unit leader,3028
12267,director - digital operations & site lead,3029
12268,vice president | commercials japa & us small business,12128
12269,director partner management us and canada | operations anz & uk,3066
12271,service delivery leader,10157
12272,manager operations,6343
12273,sr. process associate,10737
12274,assimilation & employee-engagement lead,594
12276,senior human resources manager | hr transformation & strategic lead,9557
12277,hr business partner & employee engagement manager,4517
12278,hr assimilation manager,4466
12285,dotnet developer,3130
12286,mid level developer,6673
12289,associate support engineer / global service desk administrator,938
12292,deployment assistant (part-time),2892
12294,senior process executive−data,9781
12296,telemarketing executive,11712
12298,skylounge receptionist,10320
12303,professional technical supervisor,7819
12304,powerbuilder consultant,7426
12305,sr. powerbuilder consultant,10734
12306,sr. application developer consultant,10679
12307,sr. system analyst,10779
12309,system analyst/developer,11093
12314,"sr. engineer, software development",10691
12316,associate web developer,956
12318,wfm,12274
12325,web developer and it support,12246
12327,associate director - process excellence,845
12328,continuous improvement senior manager,2136
12330,quality lead,8253
12331,revenue analyst,8777
12332,process and quality supervisor,7511
12333,process engineer supervisor,7545
12334,principal quality assurance engineer,7479
12336,senior qa automation engineer,9838
12338,senior quality assurance analyst,9843
12339,lead test automation engineer,6032
12342,chief technology officer,1748
12344,co-founder/chief technology officer,1875
12345,co-founder/head instructor,1876
12347,database programmer,2821
12355,senior performance analyst - paypal north america,9749
12356,senior team lead - (upside travel),10048
12357,senior travel consultant - (upside travel),10105
12358,corporate travel consultant - (accenture vip desk),2294
12359,retention specialist - (optus inc),8774
12360,executive - travel consultant (egencia),3416
12361,travel specialist (ata airlines),11944
12362,lead architect,5962
12363,cloud integration engineer/procure advisor,1838
12364,"senior procure advisor (coupa certified)/cloud integration engineer at abm global solutions, inc.",9785
12365,chief information systems development section,1735
12367,part time instructor,7189
12368,web developer/programmer,12250
12370,jr. executive - recruitment subject matter expert (technical recruiter),5716
12371,senior career architect / senior recruitment consultant,9371
12372,career architect / recruitment consultant,1586
12377,map tech team lead,6427
12378,process specialist: operations trainer,7592
12379,senior process executive: product support analyst,9780
12381,annual enrollment specialist,437
12382,implementations analyst,5075
12394,general manager - business solutions,3892
12395,senior group manager | avp -quality at wns,9518
12396,quality consultant,8230
12397,deputy manager quality,2924
12398,boa,1204
12399,sr. quality analyst,10750
12400,cca,1637
12416,regular programmer,8589
12420,corporate nurse,2261
12423,finance & accounting specialist,3573
12426,human resources manager - east asia,4987
12427,human resources manager - philippines,4989
12434,software quality assurance specialist,10460
12435,uat specialist/it consultant,11992
12437,senior quality assurance tester,9847
12439,management information systems manager,6263
12441,reporting team lead,8655
12442,reports team manager apprentice,8662
12446,escalations technical lead,3370
12447,escalations specialist/tsr,3369
12448,college of computer studies instructor (part time),1926
12451,prior authorization technician,7486
12457,software development consultant (java developer),10383
12458,system analyst / programmer ii,11090
12460,maintenance technician,6234
12461,technical lead / senior software engineer,11497
12462,technology consultant - technical lead / senior full stack engineer,11666
12463,senior c#.net developer (fullstack developer),9369
12464,senior .net engineer,9206
12465,senior application developer,9271
12467,senior manager - research and development,9648
12470,software engineer/ web developer,10435
12471,asp.net / vb.net developer,586
12472,c# developer,1522
12474,data integrator ii,2763
12475,data engineering specialist,2753
12481,it windows engineer s2 - iwg account,5643
12482,it project engineer,5564
12483,it desktop support engineer,5499
12484,supervisor/team manager for dell account,10971
12486,"l1 technical support senior assistant, dcse ",5929
12487,technical support representative/l2,11615
12488,technical support representative - dell desktop and portable systems,11608
12489,education coordinator – academic department,3191
12490,customer service officer – internet tech. support group/key accounts group,2610
12492,program management office manager,7847
12494,"product owner, identity and access management (technology business management domain)",7736
12495,program governance / pmo,7838
12496,intermediate program & project manager and project management office,5283
12497,service delivery excellence regional leader,10152
12498,service delivery technical and process trainer,10179
12499,technology consultant ,11659
12500,information technology educator,5184
12503,"assistant manager, us registered nurse",702
12504,utilizations management nurse,12059
12505,health coach consultant,4310
12513,business support assistant,1474
12514,loan specialist,6152
12517,development team lead,2967
12518,fullstack developer,3841
12519,web programmer - senior specialist,12256
12520,web programmer,12255
12523,data entry - load specialist,2754
12526,expert layer support(it helpdesk),3475
12528,advanced salesforce system administrator,331
12529,technical support representative 2,11610
12530,consultant support specialist,2070
12532,workforce services senior analyst,12343
12534,global resource planner,4004
12537,retail sales clerk,8763
12538,counter clerk,2309
12539,dining crew,3020
12541,data process analyst,2782
12543,lead generation specialist,5987
12546,japanese bilingual senior process executive,5671
12547,caregiver,1592
12549,overnight/online telephone banking peer coach,7163
12550,devops engineer,2972
12551,devops,2971
12552,application support analyst,502
12553,dev support,2953
12554,it administrator trainee,5465
12557,full stack web developer intern,3835
12558,salesforce administrator,8954
12559, ibs_ph-hr delivery team leader,5
12560,service desk analyst level 2,10187
12561,tsr (service desk analyst),11983
12562,technical operator,11509
12565,"programmer, web developer, graphic designer",7876
12566,react front-end developer,8304
12567,programmer/designer/infrastructure design & automation,7878
12568,marketing officer - branding coordinator,6513
12571,case manager level iii,1601
12573,escalation specialist,3365
12577,level ii customer service rep,6126
12581,outbound sales representative,7157
12584,knowledge management lead,5917
12589,problem manager lead,7499
12590,level 2 support lead,6120
12592,senior process executive - level 2 technical support,9774
12593,process executive - technical support,7556
12594,csv senior software engineer i,2445
12595,java developer ii,5679
12596,java developer i,5678
12598,jr. java programmer,5725
12599,sr. analyst - content ops,10678
12600,support consultant,11057
12601,php web developer,7339
12603,"candidate relations specialist, talent acquisition",1554
12604,"consultant, skip scooter ",2075
12605,"smarthelp project designer, intuit quickbooks desktop",10327
12606,"subject matter expert, intuit quickbooks desktop ",10916
12607,"technical consultant 2 (tier 2), intuit quickbooks desktop ",11472
12608,"technical consultant, intuit quickbooks desktop ",11476
12609,"team lead-trainee, travel & hospitality",11373
12610,"executive, travel & hospitality",3457
12617,admin and accounting assistant,271
12620,assistant administrative,599
12621,associate director - global transition and transformation - ph country lead ,842
12622,"avp- transformation lead , digital assets, software developers and ui/ux",1115
12623,it senior manager - program / project manager,5584
12624,vice president information technology - innovation and service delivery,12125
12625,"group leader - data center ops, it asset, contract, vendor/partner management, apac and emea regions",4091
12626,i.t. project manager - chartis philippines data center migration,5048
12628,technical support services manager,11621
12629,i.t. innovation support services manager,5047
12630,systems administrator - global it helpdesk,11127
12631,technical support services supervisor - team lead,11622
12635,account general manager,75
12646,business operations senior specialist,1428
12647,business operations specialist,1429
12648,senior client intelligence analyst,9376
12649,custodian operations analyst,2450
12654,process improvement coordinator,7564
12657,compounding pharmacist,2019
12659,account officer / property specialist,100
12661,google analytics specialist,4042
12662,implementation specialist,5073
12663,tier 3 support,11794
12668,hr business operations & controls specialist,4515
12670,hr employee relations staff,4575
12673,healthcare recruiter,4315
12674,business development associate,1369
12675,community operations,1973
12678,inbound technical support - time warner cable,5092
12679,inbound technical support - palm smartphones ,5091
12694,csv associate lead developer,2442
12702,workforce planner,12334
12703,lead,5954
12704,cwfm team leader senior executive,2687
12705,wfm schedule analyst/real time analyst,12280
12706,workforce reports analyts/scheduler,12340
12707,health care customer service representative,4308
12708,recruitment supervisor trainee,8491
12709,marketing trainee,6541
12710,general manager | life sciences | digital operations,3898
12711,avp operations (sr.group manager),1095
12712,manager asia pacific region (technical service center),6326
12714,asst.manager operation,996
12715,team leader operations,11393
12716,quality coach,8229
12721,crm intern,2424
12723,healthcare service associate,4316
12725,sangguniang kabataan secretary,8965
12726,client associate,1785
12733,tech support associate,11446
12740,programmer / analyst,7864
12741,vb.net programmer,12068
12750,us senior recruiter,12041
12752,mental health clinician,6642
12763,microsoft support engineer,6670
12765,senior java software engineer,9599
12766,software team lead,10467
12767,software technical lead,10468
12768,software development consultant,10382
12773,gdc project coordinator,3867
12774,social media manager,10348
12776,business support supervisor - client operations,1478
12777,data analyst - secondment,2716
12779,senior customer support representative - tier 2,9423
12782,associate product analyst (full stack developer),905
12786,management information system supervisor,6261
12787,local resource planner,6167
12789,outbound sales agent,7156
12793,information technology support specialist,5207
12802,java software developer,5685
12805,process delivery specialist,7534
12806,hr contact center representative,4558
12807,talent coordinator,11244
12815,social media representative,10354
12817,game advisor,3861
12819,game master,3865
12822,assistant unit manager,765
12823,travel agent,11937
12824,reservations agent,8710
12826,call center associate - target ovt,1544
12827,sr coordinator - recruitment,10658
12831,operation supervisor,6959
12833,senior operation supervisor,9724
12834,team manager - banking and financial services,11412
12835,unit manager for operations,12009
12836,team leader ,11376
12837,"oic, workforce analyst",6904
12841,senior software analyst,9917
12842,analyst-programmer ii,421
12845,senior it associate,9586
12847,it assistant / intern,5476
12853,technical virtual assistant,11646
12855,c# programmer,1523
12858,customer experience associate,2502
12863,manager – talent partner group lead cognizant technology solutions inc. ,6348
12864,sr. executive human resources - talent management,10698
12868,technical representative subject matter expert,11522
12869,consumer promotion assistant coordinator,2100
12871,deputy general manager process excellence,2907
12873,"continuous improvement champion, operational excellence",2132
12874,"manager, quality and process excellence",6388
12875,"lead assistant manager, quality and process excellence",5964
12877,learner,6057
12878,assistant systems engineer,743
12882,computer programmer i,2033
12886,senior mobile engineer,9711
12887,mobile team lead,6715
12889,chief technology officer / co-founder,1749
12890,senior mobile developer,9710
12891,mobile lead engineer,6711
12892,senior android developer,9269
12893,online senior website builder,6944
12896,tier 3 - subject matter expert (video sharing platform),11793
12897,tier 2 - unauthorized purchases pilot team,11786
12899,angular developer,436
12904,global practice manager,3989
12905,it helpdesk team manager,5530
12906,senior solution consultant,9949
12907,network and security operations center management,6775
12908,release and deployment management,8622
12909,cisco subject matter expert,1755
12910,resolution expert,8718
12923,hemodialysis nurse,4338
12925,medical coder,6614
12926,trainee nurse,11844
12927,executive - human resources shared services (team lead) ,3414
12928,deputy manager - hr payroll,2921
12929,deputy manager - hr compensation & benefits,2920
12930,assistant manager - hr compensation & benefits,648
12931,sr. executive - hr compensation & benefits,10695
12932,executive - hr compensation & benefits,3411
12933,executive - hr tag & onboarding,3413
12935,inventory processing specialist,5421
12939,associate operations manager - itis,896
12940,technical lead - itis,11496
12947,hr senior executive,4728
12949,executive officer,3443
12950,reports and analytics lead,8659
12956,first line manager,3694
12961,business excellence lead,1389
12967,associate consulting manager,830
12970,technology manager,11688
12971,"manager, implementation and support systems",6368
12972,implementation and support specialist,5068
12973,manufacturing systems engineer,6426
12975,service desk team lead,10197
12976,problem coordinator,7494
12979,service desk lead,10192
12980,service desk agent,10182
12981,technical support representative - dell cbg,11607
12982,technical support representative - aol tech,11605
12983,technical support representative - aol features and premium services,11604
12987,webcasting analyst,12261
12988,event specialist,3388
12990,conference administrator,2046
12996,utilization management nurse,12056
12999,community health nurse,1968
13007,solutions analyst / lead developer,10482
13020,system administrator intern,11083
13021,deputy general manager for operations,2905
13022,director for operations,3050
13025,senior operations lead,9728
13027,underwriting assistant,12003
13028,claims call center agent,1769
13031,software engineer - node | javascript,10410
13032,software engineer - node | angular,10409
13034,yield data engineer - lean six sigma,12359
13036,-,15
13037,associate manager - collections,881
13038,collections agency lead,1906
13039,senior collections team lead,9382
13045,key resource person,5912
13049,operations sr. specialist i,7050
13053,osc i (real time monitoring specialist),7149
13054,technical support service representative,11620
13055,part-time faculty,7198
13056,on-line customer service representative,6920
13060,senior system analyst,10013
13063,it finance and hr systems specialist,5513
13064,pivotal administrator team lead,7345
13065,pivotal administrator – uk,7346
13066,account receivable-emea,113
13067,hr.net system administrator maintenance,4830
13072,junior team lead,5882
13074,app/cloud support senior analyst,456
13075,infrastructure engineer,5219
13078,.net software engineer,21
13083,senior solutions analyst,9950
13087,eligibility analyst,3221
13089,quality & compliance specialist,8169
13090,administrative coordinator,299
13110,avp,1074
13111,senior director,9453
13114,associate vice president,951
13115,delivery group manager (vp ops),2854
13117,process leader,7572
13118,mortgage underwriter,6727
13121,"service delivery leader, operational control & compliance",10158
13122,operations manager (department head),7015
13128,digital operator,3005
13129,senior 24/7 digital specialist,9207
13130,technical campaign specialist iii,11467
13131,proxy website specialist,8089
13133,business solutions manager,1470
13134,senior solutions design manager,9952
13135,"manager ii, business operations",6338
13136,"manager ii, delivery architecture",6339
13137,delivery architect / transitions & project manager,2847
13139,assistant manager for operations,677
13142,crm d365 and devops specialist,2423
13146,junior technical consultant,5884
13147,technical support consultant,11568
13153,reservations specialist,8711
13155,director of it,3060
13157,senior manager - it pmo,9638
13158,senior manager - it,9636
13159,collaborations engineer - apac & emea,1892
13160,engineer- systems,3300
13164,tier 2 supervisor for special groups,11790
13166,tier 1 supervisor,11783
13167,tier 3 web hosting specialist,11795
13168,tier 2 webhosting escalation specialist,11792
13169,tier 1 webhosting technical and customer support specialist,11785
13170,"deputy general manager - continuous improvement/lean management, transitions",2900
13171,transition manager & continuous improvement sustainability leader,11917
13172,"change and project manager, project management office",1676
13173,associate transition leader,950
13175,head - bpo operations practice,4137
13176,operations/project manager,7083
13177,customer service manager - inbound/outbound,2602
13179,it site lead - network and system services,5603
13187,advertising specialist,335
13189,audio and video editor,1010
13194,hr admin consultant,4389
13195,interim hr head,5275
13196,human resources / office manager,4928
13198,talent acquisition 1,11175
13203,senior process executive at cognizant,9778
13204,contact center professional - hindi speaker,2114
13206,application development manager,480
13209,technical manager,11502
13213,registered pharmacist - data analyst,8586
13216,report analyst,8646
13219,poc - non voice support,7394
13220,queue management,8274
13222,information technology help desk,5187
13227,training and quality lead,11860
13229,customer support executive,2675
13232,bridge se,1278
13234,salesforce technical support,8963
13238,web consultant,12232
13240,senior associate - cdb aia ,9296
13241,cognos bi/tm1 lead developer/ sap hana/power bi developer,1888
13242,associate lead tech cons- bi team,876
13243,cognos developer,1889
13249,process trainer/ quality analyst,7600
13250,utilization management representative,12057
13253,test engineering qnalyst,11757
13263,lotus notes developer/support,6202
13264,it engineer – application developer/support,5509
13265,"it engineer - application developer/support, network administrator, database administrator",5507
13270,ui developer,11993
13271,bid support specialist,1171
13274,high school ict teacher,4342
13275,freelance artist,3781
13276,hardware technician,4134
13279,execution manager,3409
13285,grand ruler,4072
13286,administrative monetary keeper,304
13287,property keeper,8075
13288,vice-thor,12142
13289,collecthor,1894
13290,calculathor,1541
13295,mean stack developer,6586
13298,front-end web developer (volunteer),3817
13301,logistics staff,6196
13304,pharmacist / operations manager,7313
13305,clinical pharmacist,1823
13306,"team manager, speech/interaction analytics",11431
13307,"sr. specialist, global analytics insights",10773
13308,"data and analytics lead (sr. team leader), speech analytics",2730
13309,"data and analytics specialist, speech analytics",2731
13310,customer experience analyst ,2497
13320,level 2 support engineer,6119
13322,junior software test engineer,5872
13325,process specialist (sme),7583
13330,.net developer ii,19
13334,pharmacovigilance officer - safety data analyst,7314
13335,clinical pharmacy clerk,1824
13342,service quality coach,10228
13345,customer finance representative,2520
13354,open source development manager,6954
13355,collaboration development manager,1891
13359,technical analyst,11454
13361,"deputy general manager, medical management",2911
13362,"service delivery lead, clinical operations",10156
13363,"nurse manager, clinical operations",6846
13364,"assistant manager, operations",695
13366,nurse agent - clinical case management,6843
13367,clinical / classroom instructor,1816
13368,clinical/classroom instructor,1833
13372,front end web developer,3807
13373,jr. front end developer,5721
13374,ui engineer,11994
13376,web developer / it specialist,12243
13381,information processing specialist,5146
13382,directory review service associate,3095
13387,quality and workforce management,8177
13389,chemist researcher,1720
13390,team lead / executive - hr compben,11350
13391,jr. executive - hr compben,5713
13392,operations customer services representative ii,6992
13394,service delivery assistant,10144
13397,human resource intern (recruitment),4896
13398,human resource intern (compliance department),4895
13399,quality engineering & assurance,8245
13400,senior support engineer,10006
13403,mobile specialist,6714
13405,case specialist,1602
13407,senior sales representative,9891
13411,sportsbet operator/sports trader,10649
13412,online casino dealer,6937
13413,receptionist & telephone operator,8318
13414,baker,1146
13415,sales & service representative,8853
13417,vendor management lead -sourcing,12079
13428,business analyst / quality assurance ,1313
13429,business system analyst,1480
13433,programmer / systems analyst,7865
13434,"manager, process excellence",6383
13435,delivery excellence specialist – operational excellence,2851
13436,"manager, business process excellence & transformation",6351
13437,team manager – telecommunications account,11427
13438,jr. executive - recruitment (it) subject matter expert,5715
13443,editorial support agent,3186
13445,community operations specialist,1974
13446,chart retrieval specialist,1711
13447,fraud prevention specialist,3773
13450,deputy general manager - digital operations,2903
13451,training manager - digital operations,11874
13452,learning and leadership development manager (training and quality assurance),6077
13455,training intern,11871
13459,system tester,11121
13462,projects - eas crm cim,8065
13463,technical support engineer - genesys cloud,11574
13464,pbx support engineer iii,7259
13472,technical support supervisor,11627
13475,senior developer angular,9450
13482,assoc. software engineer,809
13485,advanced app engineering senior analyst - android developer,325
13486,advanced app engineering analyst - android developer,324
13487,software engineer (application development analyst) - android developer,10397
13488,associate software engineer - android developer,930
13489,intern - android development,5294
13496,student assistant (working scholar),10883
13497,"data, ai & analytics director",2808
13498,principal solutions consultant (southeast asia),7483
13499,partner technical manager,7211
13500,head of data engineering,4172
13501,data integration manager,2762
13504,associate technical consultant,944
13511,member of advisory board,6632
13513,vice president,12093
13514,information and communication officer,5140
13519,associate operations manager -it,897
13523,programmer analyst trainee,7873
13526,program analyst,7822
13532,application development specialist,483
13536,it lead ,5538
13537,it lead,5537
13538,it security officer,5582
13541,workforce team manager,12346
13543,workforce planning lead,12336
13544,command center team leader,1930
13547,sr. application systems engineer/consultant,10680
13549,software developer analyst,10372
13551,sr. process executive- unapplied cash,10739
13552,senior process executive -(ar) customer service & billing,9776
13553,finance & accounting officer (ar & collections) ,3572
13554,billing & collections specialist (medical senior lien representative) for workers compensation,1183
13555,administrative executive,301
13556,customer service and finance specialist,2584
13557,pega technical lead,7269
13558,robot automation developer,8814
13561,cashier,1613
13568,business intelligence project lead,1408
13576,tech support representative,11447
13578,mid-level frontend web developer,6684
13581,division head,3113
13582,relationship manager corporate banking,8613
13583,manager 2 - relationship manager,6323
13584,marketing associate - personal banking,6484
13585,branch operations officer,1223
13586,customer service representative - sundries,2626
13587,customer sales associate - new accounts,2574
13588,customer service associate - teller,2590
13589,investment specialist,5428
13591,head of communications,4166
13592,chief executive officer,1731
13593,infodesk volunteer and coordinator,5137
13594,acet volunteer,251
13596,relationship associate,8595
13598,atm channel division assistant (internship),1001
13599,product engineering lead,7700
13600,senior software engineer lead,9937
13606,enlisted personnel - java developer,3326
13608,head of support group,4249
13610,software qa engineer,10451
13613,customer experience management officer,2507
13618,field hr specialist - atcp ,3556
13620,hr account officer/ hr business partner,4384
13623,branch head,1219
13624,field audit officer,3541
13625,field auditor,3542
13626,audit associate - financial services,1021
13628,quality control officer,8237
13629,cards underwriter,1583
13631,fraud officer,3770
13632,cabin crew,1526
13635,scholarship manager,9132
13641,credit underwriter,2412
13644,senior software quality assurance engineer,9945
13645,test analyst,11741
13647,credit documentation assistant,2395
13648,remittance assistant,8633
13650,audit officer,1029
13662,script writer,9151
13671,preschool teacher,7450
13672,camp counselor,1549
13673,private banking officer,7489
13674,sip section head for cards marketing,10298
13675,private banking,7487
13677,organization development officer,7136
13679,process executive and quality checker,7557
13681,creative director & photographer,2354
13686,hr assistant manger,4490
13689,compensation & benefits supervisor,1987
13693,delivery director,2850
13697,loan processor,6151
13701,technical delivery manager,11485
13702,project leader,7964
13704,analyst programmer 2,412
13705,analyst programmer 1,411
13706,fixed income trader,3715
13710,first vice president,3697
13712,project team lead,8060
13713,finance planning officer,3613
13714,financial analysis manager,3632
13715,process and reporting analyst,7512
13716,senior service assurance engineer,9905
13718,investment officer,5426
13719,trust investment officer,11973
13720,head - trust operations unit,4155
13722,trust marketing/service assistant,11977
13723,trust accountant,11968
13724,trust processor,11978
13725,assistant manager - programmer analyst,656
13728,computer teacher,2035
13730,aml specialist,367
13731,"first vice president, region head - north luzon",3706
13732,branch operations officer ,1224
13733,new account,6808
13735,customer service teller,2650
13737,guest relations officer,4109
13738,concierge,2041
13739,information security management officer,5157
13742,tax intern,11290
13744,web application programmer,12229
13747,account coordinator / relationship associate,58
13749,property investment consultant,8074
13750,fraud control officer,3766
13751,fraud investigations officer,3768
13752,jr. fraud analyst,5720
13753,authorizer/fraud analyst,1052
13755,relationship associate - business banking center,8596
13767,senior talent advisor,10040
13774,external affairs officer,3483
13775,marketing and business development intern,6460
13776,deputy group head for human resource management,2912
13777,group head for hr and administration,4085
13778,assistant personnel manager,713
13779,head information security division (ciso),4160
13781,sr. it audit specialist,10710
13782,is security and risk assessment manager,5448
13783,is security and qa manager,5447
13784,it audit manager,5480
13786,it audit,5479
13788,career transition,1591
13790,head - human resources management group,4143
13791,deputy head - human resources management group,2914
13792,"cluster hr manager - philippines, japan, korea",1857
13793,"country hr manager - philippines (vice president - hr, pilipinas shell)",2324
13794,retail hr change manager,8752
13795,retail hr capability manager,8751
13796,retail operations manager - pilipinas shell,8758
13797,hr change manager (transition management team) - pilipinas shell,4548
13798,lpg business development manager - pilipinas shell,6205
13799,recruitment & learning assistant - pilipinas shell,8354
13800,retail territory manager - pilipinas shell,8769
13801,"am, policy specialist",359
13802,"jam, policy specialist",5669
13803,management trainee under officer development program,6273
13804,policy analyst,7396
13807,vp,12174
13810,offshore tech lead,6898
13811,regional security officer - north luzon,8564
13813,detachment commander,2950
13814,asset protection specialist,592
13816,security officer,9191
13819,adc/investigator,266
13821,"admin specialist, finance sgt, computer operator",283
13822,aml officer,366
13823,internal audit officer,5351
13824,senior audit specialist,9322
13825,consumer lending analytics officer,2093
13826,management information system officer,6260
13828,database marketing assistant,2820
13835,channels section head,1706
13839,senior assistant manager,9284
13841,information technology project manager,5197
13842,returns process lead,8775
13844,customer account executive,2452
13845,system support officer,11118
13846,product development officer,7690
13848,e-banking administration section head,3152
13849,card production and control section head,1576
13850,customer service section head/management trainee,2641
13851,settlement and transaction control section support assistant,10258
13852,customer service section support assistant,2642
13853,atm reconciliation section support assistant,1005
13855,senior relationship manager,9875
13858,product analyst,7671
13860,product implementation associate,7704
13861,assistant manager - talent acquisition officer,666
13862,assistant manager - recruitment officer,659
13864,hr - talent acquisition specialist,4379
13865,hra - senior recruiter,4837
13866,csr/tsr/sales,2441
13867,relationship associate - corporate banking group (japan desk) ,8597
13868,trade marketing intern for home care division,11830
13869,delegate under business and the world economy ,2843
13875,personal banker,7292
13880,head of user experience design and research,4254
13881,head of innovation,4197
13882,head of design,4176
13884,experience design head,3465
13885,user experience supervisor,12052
13888,amazon account manager,360
13889,financial planning and analysis (fp&a),3659
13890,fund operations analyst - reconciliation,3855
13891,audit and tax compliance specialist,1016
13894,associate trainee,948
13897,sr. web programmer,10802
13898,jr web programmer,5702
13904,project lead/business analyst,7963
13906,"it consultant, technical lead",5493
13908,systems analyst/ programmer,11136
13909,systems analyst - senior programmer,11131
13910,teaching associate,11307
13917,account coordinator,56
13918,remedial management assistant,8629
13919,teller customer service,11722
13923,deployment and automation officer,2890
13924,atm and network systems officer,1000
13925,production control officer,7760
13926,intermediate systems integrator,5286
13927,server administrator - unix,10129
13928,server administrator - tecon,10128
13929,special account officer,10554
13931,special accounts assistant (consumer lending group – consumer special accounts division - home colle,10555
13932,collections officer,1916
13937,it business partner/ account manager,5487
13938,senior consultant and project manager,9388
13941,"project manager, organizational data privacy assessment",8016
13942,"head of corporate services, indra indonesia",4170
13943,"business development - it markets, indra indonesia",1359
13944,"lead business analyst, enterprise datawarehouse project",5968
13945,"project manager, electric distribution companies tariff calculation project",8014
13947,associate lecturer,877
13951,loans processor,6160
13953,is audit officer,5444
13954,senior it auditor,9588
13956,financial planning and analysis officer,3660
13958,"analyst, business finance- corporate & institutional banking",416
13959,product control officer,7676
13960,business finance officer- financial markets,1393
13961,junior assistant manager,5761
13962,technology officer,11690
13963,it security administrator (user identity and access management),5577
13964,datacenter operations specialist,2823
13971,service officer,10222
13972,credit officer,2399
13973,economic research intern,3173
13975,recruitment head,8437
13976,remittance head,8634
13978,vp marketing,12190
13979,onboarding lead,6931
13982,"head, pr and corporate communications",4287
13983,external relations manager,3488
13984,senior lead for pr and strategic communications,9606
13985,"senior manager, pr & corporate communications division head",9685
13986,"manager, pr & corporate communications division head",6381
13987,"executive, corporate communications",3455
13988,senior reporter,9878
13991,team lead & relationship manager,11319
13992,deputy team lead & relationship manager,2928
13999,"assistant manager, talent acquisition ",700
14000,principal - sourcing,7472
14001,principal - sourcing via alexander mann solutions,7473
14003,deputy team lead for projects team,2931
14004,deputy team lead (interim manila site lead) for credit suisse rpo,2929
14005,senior recruitment sourcing specialist for credit suisse rpo,9873
14006,recruitment sourcing specialist for credit suisse rpo,8479
14007,recruitment coordinator for credit suisse rpo,8429
14008,employee engagement and retention solutions,3238
14009,human resources interviewer,4978
14010,customer service representative - teller,2627
14012,remittance processor,8636
14015,regional customer service representative,8531
14016,customer service representative - new accounts,2625
14018,customer service representative - clearing,2624
14020,loans operations associate,6159
14021,operations quality assurance associate,7045
14023,"head, credit support unit",4273
14025,manager / credit review officer,6319
14026,junior assistant manager / documentation review officer,5766
14034,senior manager / infrastructure lead,9655
14036,it infrastructure specialist,5534
14037,middleware administrator,6685
14041,test automation specialist,11750
14043,senior test engineer,10097
14045,associate quality assurance analyst,914
14047,compliance analyst,2000
14049,public relations officer ii,8104
14050,intern student,5320
14055,project delivery lead,7910
14056,project delivery manager,7911
14058,regional service delivery manager,8567
14060,technical training architect and project team lead,11640
14063,test team lead,11766
14065,inventory control clerk,5414
14068,senior relationship manager corporate banking,9876
14069,advisory senior consultant,338
14070,assurance senior associate,999
14073,project hire,7944
14074,data processing officer,2785
14075,performance management officer,7285
14076,personnel services officer,7299
14078,branches analyst,1231
14080,data processing associate,2784
14081,bank employee,1149
14083,service level manager,10210
14085,digital team developer and support,3016
14087,rf engineer,8791
14088,learning business partner,6080
14090,learning and development partner,6072
14092,program leader,7843
14093,assistant manager - learning and development,653
14094,learning and development team lead,6075
14095,learning and development trainer,6076
14096,global communications officer,3920
14098,hr/training assistant,4836
14099,human resources/marketing associate,5038
14104,customer service representative- new accounts,2636
14105,customer service representative-teller,2638
14107,:,33
14108,biu strategic information management head,1199
14109,data quality consultant - project,2793
14110,information management analyst,5145
14111,business intelligence unit analyst,1411
14112,statistical coordinating officer,10831
14113,marketing planning officer,6520
14115,senior transition project manager,10104
14116,business operations lead,1426
14118,change management specialist,1682
14119,client manager,1797
14123,head of department,4175
14124,talent acquisition officer (sr. asst. manager),11204
14125,talent acquisition manager (asst. manager),11201
14128,"lead, corporate recruitment/talent acquisition",6036
14129,"hr recrutiment, lead",4718
14136,relationship manager - consumer lending group - car financing,8605
14138,account coordinator - consumer lending group - car financing division,57
14139,"head, human resources development division",4283
14140,hr senior manager,4729
14141,"hr lead, financial services",4607
14142,"regional hr lead - pakistan, australia, new zealand, southeast asia / singapore county hr lead",8541
14143,country hr lead,2323
14145,"hr manager, microprocessor factory",4623
14146,product & marketing head,7668
14147,product marketing lead,7724
14148,digital director,2987
14150,industry manager,5133
14151,sales and marketing head,8872
14152,"sales manager, yahoo! philippines",8923
14153,"head, business development",4267
14156,producer - online,7666
14157,"specialist, new product development",10635
14158,data scientist,2801
14159,product test engineer,7747
14160,legal counsel - rasd - office of general counsel,6106
14161,lawyer - litigation department - rld - samg,5951
